file_path,line_number,hardcoded_literal,match_category,proposed_alias,confidence,auto_fixable,manual_review_required,severity_risk,context,runtime_executed,generated_or_archive,docs_reference_only,intentional_example,triage_class,canonical_source
tools\discord_bot\cogs\troubleshooter.py,109,e:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""5. If the data directory is corrupted, you may need to reinitialize:\n""",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\cogs\troubleshooter.py,130,e:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""1. In the **bnetserver** console, type:\n""",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\cogs\troubleshooter.py,133,l:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""3. Then set the GM level:\n""",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\cogs\troubleshooter.py,151,s:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""4. Common issues:\n""",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\cogs\troubleshooter.py,167,d:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""5. If you get linker errors about unresolved symbols, clean and rebuild:\n""",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\data\faq_responses.json,24,r:\n1.,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""response"": ""**Map extraction guide:**\n\nYou need to run **4 extractors** in this order:\n1. `mapex",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\data\faq_responses.json,30,e:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""response"": ""**worldserver.conf tips:**\n\n- **MySQLExecutable**: Must be the full path to `mysql.ex",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\data\faq_responses.json,42,k:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""response"": ""**MySQL connection troubleshooting:**\n\n1. **Is MySQL running?** Check UniServerZ — cl",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\data\faq_responses.json,54,e:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""response"": ""**Applying SQL updates:**\n\n1. Open **HeidiSQL** (included in most repacks) or MySQL C",Yes,No,No,No,runtime_defer,Yes
tools\log_tools\auto_parse_v2.py.bak,41,C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"RUNTIME_DIR = Path(r""C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo"")",No,No,No,No,runtime_defer,Yes
tools\log_tools\auto_parse_v2.py.bak,42,C:\WoW\_retail_\Cache\ADB\enUS,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"ADB_CACHE_DIR = Path(r""C:\WoW\_retail_\Cache\ADB\enUS"")",No,No,No,No,runtime_defer,Yes
tools\log_tools\auto_parse_v2.py.bak,44,C:\Users\atayl\VoxCore\wago,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"WAGO_DIR = Path(r""C:\Users\atayl\VoxCore\wago"")",No,No,No,No,runtime_defer,Yes
tools\log_tools\auto_parse_v2.py.bak,45,C:\Users\atayl\VoxCore\tools,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"TOOLS_DIR = Path(r""C:\Users\atayl\VoxCore\tools"")",No,No,No,No,runtime_defer,Yes
tools\log_tools\auto_parse_v2.py.bak,47,C:\Users\atayl\VoxCore\ExtTools\WowPacketParser\WowPacketParser.exe,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"WPP_EXE = Path(r""C:\Users\atayl\VoxCore\ExtTools\WowPacketParser\WowPacketParser.exe"")",No,No,No,No,runtime_defer,Yes
tools\log_tools\auto_parse_v2.py.bak,189,d:\s+(.+?)\s*\[Player:\s+(\S+),Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,r'^(\d{4}-\d{2}-\d{2}_\d{2}:\d{2}:\d{2})\s+Command:\s+(.+?)\s*\[Player:\s+(\S+)',No,No,No,No,runtime_defer,Yes
tools\log_tools\auto_parse_v2.py.bak,322,d:\s+(.+),Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,r'^(\d{4}-\d{2}-\d{2}_\d{2}:\d{2}:\d{2})\s+Command:\s+(.+)',No,No,No,No,runtime_defer,Yes
tools\log_tools\generate_nexus_report.py,11,C:\Users\atayl\VoxCore\tools\ai_studio\.env,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"env_path = Path(r""C:\Users\atayl\VoxCore\tools\ai_studio\.env"")",Yes,No,No,No,runtime_defer,Yes
tools\log_tools\generate_nexus_report.py,20,C:\Users\atayl\VoxCore\AI_Studio\0_Central_Brain.md,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"brain_path = Path(r""C:\Users\atayl\VoxCore\AI_Studio\0_Central_Brain.md"")",Yes,No,No,No,runtime_defer,Yes
tools\log_tools\generate_nexus_report.py,57,C:\Users\atayl\VoxCore\AI_Studio\NotebookLM_Enterprise\Nexus_Reports,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"out_dir = Path(r""C:\Users\atayl\VoxCore\AI_Studio\NotebookLM_Enterprise\Nexus_Reports"")",Yes,No,No,No,runtime_defer,Yes
tools\log_tools\parse_dberrors.py,8,C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo\DBErrors.log,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"LOG_PATH = r""C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo\DBErrors.log""",Yes,No,No,No,runtime_defer,Yes
tools\packet_tools\opcode_analyzer.py,44,C:\Users\atayl\VoxCore\ExtTools\WowPacketParser\WowPacketParser\Enums\Version\V12_0_1_65818\Opcodes.cs,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"r""C:\Users\atayl\VoxCore\ExtTools\WowPacketParser\WowPacketParser\Enums\Version\V12_0_1_65818\Opcode",Yes,No,No,No,runtime_defer,Yes
tools\packet_tools\opcode_analyzer.py,45,C:\Users\atayl\VoxCore\ExtTools\WowPacketParser\WowPacketParser\Enums\Version\V12_0_0_65390\Opcodes.cs,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"r""C:\Users\atayl\VoxCore\ExtTools\WowPacketParser\WowPacketParser\Enums\Version\V12_0_0_65390\Opcode",Yes,No,No,No,runtime_defer,Yes
tools\packet_tools\opcode_analyzer.py,267,h:\s+(\d+)\s+,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,r'Length:\s+(\d+)\s+',Yes,No,No,No,runtime_defer,Yes
tools\packet_tools\opcode_analyzer.py,268,x:\s+(\d+)\s+)?,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,r'(?:.*?ConnIdx:\s+(\d+)\s+)?'     # optional ConnIdx capture,Yes,No,No,No,runtime_defer,Yes
tools\packet_tools\opcode_analyzer.py,269,e:\s+(\S+\s+\S+),Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,r'.*?Time:\s+(\S+\s+\S+)'),Yes,No,No,No,runtime_defer,Yes
tools\packet_tools\packet_scope.py,78,h:\s+(\d+),Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,r'Length:\s+(\d+)',Yes,No,No,No,false_positive,Yes
tools\packet_tools\packet_scope.py,79,x:\s+(\d+))?,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,r'(?:\s+ConnIdx:\s+(\d+))?',Yes,No,No,No,false_positive,Yes
tools\packet_tools\packet_scope.py,80,e:\s+(.+))?,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,r'(?:\s+Time:\s+(.+))?',Yes,No,No,No,false_positive,Yes
tools\packet_tools\packet_scope.py,685,S:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"out.write(f""    ANOMALIES:\n"")",Yes,No,No,No,false_positive,Yes
tools\packet_tools\packet_scope.py,779,e:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"out.write(""  Packet counts by opcode:\n"")",Yes,No,No,No,false_positive,Yes
tools\packet_tools\packet_scope.py,791,s:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"out.write(""  CMSG_TRANSMOG_OUTFIT_UPDATE_SLOTS slot counts:\n"")",Yes,No,No,No,false_positive,Yes
tools\packet_tools\packet_scope.py,822,n:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"out.write(""  Decode method breakdown:\n"")",Yes,No,No,No,false_positive,Yes
tools\packet_tools\packet_scope.py,1033,s:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"out.write(f""-- First 10 of {row_count} rows:\n"")",Yes,No,No,No,false_positive,Yes
tools\packet_tools\packet_scope.py,1039,s:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"out.write(f""-- Last 10 rows:\n"")",Yes,No,No,No,false_positive,Yes
tools\shortcuts\apply_pending_sql.bat,3,C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"set ""RUNTIME=C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo""",Yes,No,No,No,runtime_defer,Yes
tools\shortcuts\apply_pending_sql.bat,5,C:\Users\atayl\VoxCore\sql\updates\pending,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"set ""PENDING_DIR=C:\Users\atayl\VoxCore\sql\updates\pending""",Yes,No,No,No,runtime_defer,Yes
tools\shortcuts\apply_pending_sql.bat,6,C:\Users\atayl\VoxCore\sql\updates\applied,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"set ""APPLIED_DIR=C:\Users\atayl\VoxCore\sql\updates\applied""",Yes,No,No,No,runtime_defer,Yes
tools\shortcuts\build_scripts_rel.bat,2,C:\Program,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"call ""C:\Program Files\Microsoft Visual Studio\2026\Community\VC\Auxiliary\Build\vcvarsall.bat"" x64 ",Yes,No,No,No,accepted_external_dependency,Yes
tools\shortcuts\create_shortcuts.py,40,C:\Program,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"CHROME   = r""C:\Program Files\Google\Chrome\Application\chrome.exe""",Yes,No,No,No,false_positive,Yes
tools\shortcuts\create_shortcuts.py,193,\\build\\configure.bat,Absolute Path,NETWORK_SHARE,Low,No,Yes,High,"""cmd.exe"", f'/k ""{TOOLS}\\build\\configure.bat""',",Yes,No,No,No,false_positive,Yes
tools\shortcuts\create_shortcuts.py,199,\\build\\build.bat,Absolute Path,NETWORK_SHARE,Low,No,Yes,High,"""cmd.exe"", f'/k ""{TOOLS}\\build\\build.bat""',",Yes,No,No,No,false_positive,Yes
tools\shortcuts\create_shortcuts.py,205,\\build\\build_debug.bat,Absolute Path,NETWORK_SHARE,Low,No,Yes,High,"""cmd.exe"", f'/k ""{TOOLS}\\build\\build_debug.bat""',",Yes,No,No,No,false_positive,Yes
tools\shortcuts\create_shortcuts.py,396,\\website\\update_site.bat,Absolute Path,NETWORK_SHARE,Low,No,Yes,High,"""cmd.exe"", f'/k ""{ROOT}\\website\\update_site.bat""',",Yes,No,No,No,false_positive,Yes
